 "X1" "X2" "X3" "X4" "X5" "X6" "Y"
191.0 131.0 53.00 150.0 15.00 104.0 b
185.0 134.0 50.00 147.0 13.00 105.0 b
200.0 137.0 52.00 144.0 14.00 102.0 b
173.0 127.0 50.00 144.0 16.00 97.00 b
171.0 118.0 49.00 153.0 13.00 106.0 b
160.0 118.0 47.00 140.0 15.00 99.00 b
188.0 134.0 54.00 151.0 14.00 98.00 b
186.0 129.0 51.00 143.0 14.00 110.0 b
174.0 131.0 52.00 144.0 14.00 116.0 b
163.0 115.0 47.00 142.0 15.00 95.00 b
190.0 143.0 52.00 141.0 13.00 99.00 b
174.0 131.0 50.00 150.0 15.00 105.0 b
201.0 130.0 51.00 148.0 13.00 110.0 b
190.0 133.0 53.00 154.0 15.00 106.0 b
182.0 130.0 51.00 147.0 14.00 105.0 b
184.0 131.0 51.00 137.0 14.00 95.00 b
177.0 127.0 49.00 134.0 15.00 105.0 b
178.0 126.0 53.00 157.0 14.00 116.0 b
210.0 140.0 54.00 149.0 13.00 107.0 b
182.0 121.0 51.00 147.0 13.00 111.0 b
186.0 136.0 56.00 148.0 14.00 111.0 b
158.0 141.0 58.00 145.0 8.000 107.0 g
146.0 119.0 51.00 140.0 11.00 111.0 g
151.0 130.0 51.00 140.0 11.00 113.0 g
122.0 113.0 45.00 131.0 10.00 102.0 g
138.0 121.0 53.00 139.0 11.00 106.0 g
132.0 115.0 49.00 139.0 10.00 98.00 g
131.0 127.0 51.00 136.0 12.00 107.0 g
135.0 123.0 50.00 129.0 11.00 107.0 g
125.0 119.0 51.00 140.0 10.00 110.0 g
130.0 120.0 48.00 137.0 9.000 106.0 g
130.0 131.0 51.00 141.0 11.00 108.0 g
138.0 127.0 52.00 138.0 9.000 101.0 g
130.0 116.0 52.00 143.0 9.000 111.0 g
143.0 123.0 54.00 142.0 11.00 95.00 g
154.0 135.0 56.00 144.0 10.00 123.0 g
147.0 132.0 54.00 138.0 10.00 102.0 g
141.0 131.0 51.00 140.0 10.00 106.0 g
131.0 116.0 47.00 130.0 9.000 102.0 g
144.0 121.0 53.00 137.0 11.00 104.0 g
137.0 146.0 53.00 137.0 10.00 113.0 g
143.0 119.0 53.00 136.0 9.000 105.0 g
135.0 127.0 52.00 140.0 10.00 108.0 g
186.0 107.0 49.00 120.0 14.00 84.00 r
211.0 122.0 49.00 123.0 16.00 95.00 r
201.0 114.0 47.00 130.0 14.00 74.00 r
242.0 131.0 54.00 131.0 16.00 90.00 r
184.0 108.0 43.00 116.0 16.00 75.00 r
211.0 118.0 51.00 122.0 15.00 90.00 r
217.0 122.0 49.00 127.0 15.00 73.00 r
223.0 127.0 51.00 132.0 16.00 84.00 r
208.0 125.0 50.00 125.0 14.00 88.00 r
199.0 124.0 46.00 119.0 13.00 78.00 r
211.0 129.0 49.00 122.0 13.00 83.00 r
218.0 126.0 49.00 120.0 15.00 85.00 r
203.0 122.0 49.00 119.0 14.00 73.00 r
192.0 116.0 49.00 123.0 15.00 90.00 r
195.0 123.0 47.00 125.0 15.00 77.00 r
211.0 122.0 48.00 125.0 14.00 73.00 r
187.0 123.0 47.00 129.0 14.00 75.00 r
192.0 109.0 46.00 130.0 13.00 90.00 r
223.0 124.0 53.00 129.0 13.00 82.00 r
188.0 114.0 48.00 122.0 12.00 74.00 r
216.0 120.0 50.00 129.0 15.00 86.00 r
185.0 114.0 46.00 124.0 15.00 92.00 r
178.0 119.0 47.00 120.0 13.00 78.00 r
187.0 111.0 49.00 119.0 16.00 66.00 r
187.0 112.0 49.00 119.0 14.00 55.00 r
201.0 130.0 54.00 133.0 13.00 84.00 r
187.0 120.0 47.00 121.0 15.00 86.00 r
210.0 119.0 50.00 128.0 14.00 68.00 r
196.0 114.0 51.00 129.0 14.00 86.00 r
195.0 110.0 49.00 124.0 13.00 89.00 r
187.0 124.0 49.00 129.0 14.00 88.00 r

